section,key,value
WACC,Rf,0.043
WACC,ERP_KR,0.0487
WACC,beta_unlevered,0.93
WACC,beta_levered,1.016978
WACC,Ke,0.092527
WACC,Kd,0.056
WACC,tax,0.275
WACC,WACC,0.0866
Scurve,academic_ruo_L,0.6364
Scurve,academic_ruo_k,0.2456
Scurve,academic_ruo_t0,2037.2
Scurve,academic_ruo_P2030,0.0927
Scurve,academic_ruo_P2035,0.2342
Scurve,pharma_preclinical_nam_L,0.6364
Scurve,pharma_preclinical_nam_k,0.3003
Scurve,pharma_preclinical_nam_t0,2034.0
Scurve,pharma_preclinical_nam_P2030,0.1472
Scurve,pharma_preclinical_nam_P2035,0.3656
Scurve,organoid_cro_biobank_L,0.6364
Scurve,organoid_cro_biobank_k,0.1415
Scurve,organoid_cro_biobank_t0,2051.32
Scurve,organoid_cro_biobank_P2030,0.0297
Scurve,organoid_cro_biobank_P2035,0.0574
Scurve,clinical_dx_pdo_L,0.6364
Scurve,clinical_dx_pdo_k,0.16
Scurve,clinical_dx_pdo_t0,2047.31
Scurve,clinical_dx_pdo_P2030,0.0375
Scurve,clinical_dx_pdo_P2035,0.0779
Scurve,regenerative_gmp_L,1.0
Scurve,regenerative_gmp_k,0.456
Scurve,regenerative_gmp_t0,2028.41
Scurve,regenerative_gmp_P2030,0.6738
Scurve,regenerative_gmp_P2035,0.9528
Threshold,GM60_sell_L_at_ASP_32.0,160.32
Threshold,GM60_prod_L_at_ASP_32.0,191.77
Threshold,GM60_sell_L_at_ASP_30.29,169.96
Threshold,GM60_prod_L_at_ASP_30.29,203.3
Threshold,GM60_sell_L_at_ASP_24.93,209.45
Threshold,GM60_prod_L_at_ASP_24.93,250.54
Threshold,GM60_sell_L_at_ASP_19.39,275.66
Threshold,GM60_prod_L_at_ASP_19.39,329.73
Threshold,GM60_sell_L_at_ASP_18.53,289.88
Threshold,GM60_prod_L_at_ASP_18.53,346.74
Threshold,GM60_sell_L_at_ASP_16.59,328.06
Threshold,GM60_prod_L_at_ASP_16.59,392.42
PnL_A_bear,2026_sell_L,0.7616
PnL_A_bear,2026_prod_L,0.911
PnL_A_bear,2026_asp,19.39
PnL_A_bear,2026_revenue,14767.001
PnL_A_bear,2026_cogs,382223.6453
PnL_A_bear,2026_gross_profit,-367456.6442
PnL_A_bear,2026_gm,-24.8836
PnL_A_bear,2026_sga,572343
PnL_A_bear,2026_rnd,470000
PnL_A_bear,2026_ebit,-1409799.6442
PnL_A_bear,2026_capex,350000.0
PnL_A_bear,2026_fcf,-1728491.3945
PnL_A_bear,2026_cum_fcf,-1728491.3945
PnL_A_bear,2027_sell_L,1.0182
PnL_A_bear,2027_prod_L,1.2179
PnL_A_bear,2027_asp,18.6144
PnL_A_bear,2027_revenue,18952.3914
PnL_A_bear,2027_cogs,384657.3259
PnL_A_bear,2027_gross_profit,-365704.9345
PnL_A_bear,2027_gm,-19.296
PnL_A_bear,2027_sga,572343
PnL_A_bear,2027_rnd,470000
PnL_A_bear,2027_ebit,-1408047.9345
PnL_A_bear,2027_capex,0.0
PnL_A_bear,2027_fcf,-1374094.2821
PnL_A_bear,2027_cum_fcf,-3102585.6766
PnL_A_bear,2028_sell_L,1.3786
PnL_A_bear,2028_prod_L,1.6491
PnL_A_bear,2028_asp,17.8698
PnL_A_bear,2028_revenue,24635.6644
PnL_A_bear,2028_cogs,388076.3314
PnL_A_bear,2028_gross_profit,-363440.667
PnL_A_bear,2028_gm,-14.7526
PnL_A_bear,2028_sga,1144686
PnL_A_bear,2028_rnd,470000
PnL_A_bear,2028_ebit,-1978126.667
PnL_A_bear,2028_capex,0.0
PnL_A_bear,2028_fcf,-1944547.4852
PnL_A_bear,2028_cum_fcf,-5047133.1618
PnL_A_bear,2029_sell_L,1.8903
PnL_A_bear,2029_prod_L,2.2611
PnL_A_bear,2029_asp,17.155
PnL_A_bear,2029_revenue,32427.7773
PnL_A_bear,2029_cogs,392929.4756
PnL_A_bear,2029_gross_profit,-360501.6983
PnL_A_bear,2029_gm,-11.1171
PnL_A_bear,2029_sga,1144686
PnL_A_bear,2029_rnd,470000
PnL_A_bear,2029_ebit,-1975187.6983
PnL_A_bear,2029_capex,0.0
PnL_A_bear,2029_fcf,-1942135.7265
PnL_A_bear,2029_cum_fcf,-6989268.8883
PnL_A_bear,2030_sell_L,2.622
PnL_A_bear,2030_prod_L,3.1364
PnL_A_bear,2030_asp,16.4688
PnL_A_bear,2030_revenue,43182.0434
