scenario,year,segment,region,units,asp_usd_per_mL,volume_L,TAM_usd,TAM_addressable_usd,TAM_addressable_L,SAM_naive_usd,cum_adoption,SAM_adjusted_usd,SAM_adjusted_L,SOM_pre_efficacy_usd,SOM_usd,SOM_L
bear,2025,academic_ruo,US,1061.61,48.24,138.0094,6657574.0,4061120.0,84.1857,4061120.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,academic_ruo,EU,1170.59,48.24,152.1769,7341015.0,4478019.0,92.8279,4478019.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,academic_ruo,China,1516.59,21.298,197.1563,4199027.0,2561407.0,120.2653,2561407.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,academic_ruo,Japan,244.64,45.828,31.8026,1457450.0,889044.0,19.3996,889044.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,academic_ruo,Korea,219.49,43.416,28.5332,1238796.0,755666.0,17.4052,755666.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,academic_ruo,RoW,887.09,38.592,115.3216,4450490.0,2714799.0,70.3462,2714799.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,pharma_preclinical_nam,US,173.75,41.004,57.3385,2351109.0,1293110.0,31.5362,1293110.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,pharma_preclinical_nam,EU,96.53,41.004,31.8547,1306172.0,718395.0,17.5201,718395.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,pharma_preclinical_nam,China,57.92,18.103,19.1128,346005.0,190303.0,10.5121,190303.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,pharma_preclinical_nam,Japan,27.03,38.954,8.9193,347442.0,191093.0,4.9056,191093.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,pharma_preclinical_nam,Korea,11.58,36.904,3.8226,141067.0,77587.0,2.1024,77587.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,pharma_preclinical_nam,RoW,19.31,32.803,6.3709,208988.0,114943.0,3.504,114943.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,organoid_cro_biobank,US,52.8,36.18,95.04,3438547.0,1719274.0,47.52,1719274.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,organoid_cro_biobank,EU,26.4,36.18,47.52,1719274.0,859637.0,23.76,859637.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,organoid_cro_biobank,China,29.04,15.973,52.272,834965.0,417483.0,26.136,417483.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,organoid_cro_biobank,Japan,7.92,34.371,14.256,489993.0,244996.0,7.128,244996.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,organoid_cro_biobank,Korea,6.6,32.562,11.88,386837.0,193418.0,5.94,193418.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,organoid_cro_biobank,RoW,9.24,28.944,16.632,481397.0,240698.0,8.316,240698.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,clinical_dx_pdo,US,2500.0,48.24,6.25,301500.0,135675.0,2.8125,135675.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,clinical_dx_pdo,EU,1500.0,48.24,3.75,180900.0,81405.0,1.6875,81405.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,clinical_dx_pdo,China,4500.0,21.298,11.25,239602.0,107821.0,5.0625,107821.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,clinical_dx_pdo,Japan,600.0,45.828,1.5,68742.0,30934.0,0.675,30934.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,clinical_dx_pdo,Korea,500.0,43.416,1.25,54270.0,24422.0,0.5625,24422.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,clinical_dx_pdo,RoW,400.0,38.592,1.0,38592.0,17366.0,0.45,17366.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,regenerative_gmp,US,1.0,117.43,0.2,23486.0,23486.0,0.2,23486.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,regenerative_gmp,EU,0.8,117.43,0.16,18789.0,18789.0,0.16,18789.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,regenerative_gmp,China,0.4,51.845,0.08,4148.0,4148.0,0.08,4148.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,regenerative_gmp,Japan,1.6,111.558,0.32,35699.0,35699.0,0.32,35699.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,regenerative_gmp,Korea,0.2,105.687,0.04,4227.0,4227.0,0.04,4227.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2025,regenerative_gmp,RoW,0.0,93.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,2026,academic_ruo,US,1104.08,46.31,143.5298,6646922.0,4054622.0,87.5532,4054622.0,0.042,93662.0,2.0225,4683.0,2810.0,0.0607
bear,2026,academic_ruo,EU,1217.42,46.31,158.264,7329269.0,4470854.0,96.541,4470854.0,0.042,103277.0,2.2301,5164.0,3098.0,0.0669
bear,2026,academic_ruo,China,1577.25,20.446,205.0426,4192309.0,2557308.0,125.076,2557308.0,0.042,59074.0,2.8893,2954.0,1772.0,0.0867
bear,2026,academic_ruo,Japan,254.42,43.995,33.0747,1455118.0,887622.0,20.1756,887622.0,0.042,20504.0,0.4661,1025.0,615.0,0.014
bear,2026,academic_ruo,Korea,228.27,41.679,29.6745,1236814.0,754457.0,18.1014,754457.0,0.042,17428.0,0.4181,871.0,523.0,0.0125
bear,2026,academic_ruo,RoW,922.57,37.048,119.9344,4443370.0,2710455.0,73.16,2710455.0,0.042,62612.0,1.69,3131.0,1878.0,0.0507
bear,2026,pharma_preclinical_nam,US,227.53,39.364,75.0845,2955612.0,1625587.0,41.2964,1625587.0,0.0581,51946.0,1.3196,2597.0,1558.0,0.0396
bear,2026,pharma_preclinical_nam,EU,126.4,39.364,41.7136,1642007.0,903104.0,22.9425,903104.0,0.0581,28859.0,0.7331,1443.0,866.0,0.022
bear,2026,pharma_preclinical_nam,China,75.84,17.379,25.0282,434968.0,239232.0,13.7655,239232.0,0.0581,7645.0,0.4399,382.0,229.0,0.0132
bear,2026,pharma_preclinical_nam,Japan,35.39,37.396,11.6798,436774.0,240226.0,6.4239,240226.0,0.0581,7676.0,0.2053,384.0,230.0,0.0062
bear,2026,pharma_preclinical_nam,Korea,15.17,35.427,5.0056,177337.0,97535.0,2.7531,97535.0,0.0581,3117.0,0.088,156.0,94.0,0.0026
bear,2026,pharma_preclinical_nam,RoW,25.28,31.491,8.3427,262721.0,144497.0,4.5885,144497.0,0.0581,4617.0,0.1466,231.0,139.0,0.0044
bear,2026,organoid_cro_biobank,US,57.02,34.733,102.6432,3565086.0,1782543.0,51.3216,1782543.0,0.0189,18530.0,0.5335,926.0,556.0,0.016
bear,2026,organoid_cro_biobank,EU,28.51,34.733,51.3216,1782543.0,891271.0,25.6608,891271.0,0.0189,9265.0,0.2667,463.0,278.0,0.008
bear,2026,organoid_cro_biobank,China,31.36,15.335,56.4538,865692.0,432846.0,28.2269,432846.0,0.0189,4499.0,0.2934,225.0,135.0,0.0088
bear,2026,organoid_cro_biobank,Japan,8.55,32.996,15.3965,508025.0,254012.0,7.6982,254012.0,0.0189,2640.0,0.08,132.0,79.0,0.0024
bear,2026,organoid_cro_biobank,Korea,7.13,31.26,12.8304,401072.0,200536.0,6.4152,200536.0,0.0189,2085.0,0.0667,104.0,63.0,0.002
bear,2026,organoid_cro_biobank,RoW,9.98,27.786,17.9626,499112.0,249556.0,8.9813,249556.0,0.0189,2594.0,0.0934,130.0,78.0,0.0028
bear,2026,clinical_dx_pdo,US,2800.0,46.31,7.0,324173.0,145878.0,3.15,145878.0,0.0224,1797.0,0.0388,90.0,54.0,0.0012
bear,2026,clinical_dx_pdo,EU,1680.0,46.31,4.2,194504.0,87527.0,1.89,87527.0,0.0224,1078.0,0.0233,54.0,32.0,0.0007
