"patent_number","jurisdiction","assignee","priority_date","grant_date","expiry_estimate","status","claim_gist","relevance_to_us","infringement_risk","design_around_note","url","evidence_id"
"US4829000A","US","The United States of America (DHHS/USPHS) — Kleinman·Martin","1985-08-30","1989-05-09","2006-05-09 (만료)","만료","세포배양 조성물에 라미닌 60~85%·콜라겐IV 5~30%·니도겐 1~10%·HSPG 1~10%·엔탁틴 1~5% 로 이루어진 단백질 추출물을 3.7 mg/mL 이상 첨가하고 24~37℃ 20분 내 강성 겔로 중합시키는 것","배경","하","만료. **BME(Matrigel) 조성 자체가 퍼블릭 도메인** — 우리가 BME를 대체하는 것도, 타사가 BME를 복제하는 것도 자유","https://patents.google.com/patent/US4829000A/en","E-500"
"US5158874A","US","The United States of America (DHHS)","1985-08-30","1992-10-27","2009-10-27 (만료)","만료","BME 추출물 층 위에서 종양세포 이동을 관찰해 전이능을 판정하는 방법","배경","하","만료. BME 응용 용도특허도 소멸","https://patents.google.com/patent/US5158874A/en","E-501"
"US5420025A","US","Ajinomoto Co. + Amano Pharmaceutical","1990-10-19","1995-05-30","만료 (Expired-Lifetime)","만료","특정 331 아미노산 서열의 트랜스글루타미나제를 코딩하는 화학합성 또는 클로닝된 DNA 단편","배경","하","만료. **mTG 재조합 생산의 원천 권리 소멸** — LG화학 자체 mTG 발효·정제에 특허 장벽 없음","https://patents.google.com/patent/US5420025A/en","E-502"
"US6030821A","US","Ajinomoto Co., Inc.","1994-10-11","2000-02-29","만료 (Expired-Lifetime)","만료","mTG 와 추가 단백질성 물질을 함유한 용액을 건조하여 24℃ 1년 보관 후 잔존활성 80% 이상인 안정화 mTG 조성물을 제조하는 방법","인접","하","만료. 2액형 키트의 **동결건조 mTG 안정화 제형**을 우리가 그대로 써도 무방","https://patents.google.com/patent/US6030821A/en","E-503"
"US6190879B1","US","Novo Nordisk A/S","1994-08-26","2001-02-20","만료 (Expired-Fee Related)","만료","배양액의 푸트레신-카제인 결합능 및 하이드록실아민 비전환성으로 TG 생산 미생물을 선별하는 방법","배경","하","만료. 신규 mTG 균주 스크리닝 자유","https://patents.google.com/patent/US6190879B1/en","E-504"
"US7718168B2","US","Aston University","2000-05-12","2010-05-18","2021-05-02 (만료)","만료","고분자 표면에 TG결합단백질을 매개로 포유류 TG 를 고정하되 유리 2가 금속이온 부재로 시험관내 비활성 상태를 유지시켜 세포부착·증식·분화를 촉진하는 의료용 임플란트 재료","인접","하","만료","https://patents.google.com/patent/US7718168B2/en","E-505"
"US20080305517A1","US","Aston University","2004-09-10","미등록","해당없음 (권리 미발생)","포기","트랜스글루타미나제를 사용하여 콜라겐을 가교함으로써 생체적합성 생체재료를 제조하는 방법 (청구항 1 이 이 한 문장 전부)","직접충돌","하","**포기(Abandoned) 확인 → 권리 없음.** 등록됐다면 우리 제품을 문언적으로 읽었을 최광의 청구항. 지금은 반대로 **타사 유사특허를 무효화할 최강 선행기술 방패**로 사용","https://patents.google.com/patent/US20080305517A1/en","E-506"
"US8034618B2","US","ETH Zurich + Universität Zürich (Lutolf·Hubbell)","2001-12-18","2011-10-11","2024-07-01 (만료)","만료","PTH 를 유일한 생리활성인자로 방출가능하게 포함하는 세포증식용 고분자 매트릭스 (종속항 5 에 FXIIIa 기질 도메인 명시)","배경","하","만료. **FXIIIa 효소가교 PEG 하이드로겔 계보의 원조 권리 소멸** → 효소가교 매트릭스 개념 자체는 자유","https://patents.google.com/patent/US8034618B2/en","E-507"
"US8455717B2","US","CollPlant Ltd.","2004-09-29","2013-06-04","2027-06-03","등록","식물 또는 분리 식물세포의 액포로 콜라겐 α1 사슬(SEQ ID NO:3)과 외래 P4H 를 표적화하여 히드록실화된 콜라겐을 생산하는 방법","인접","하","식물(담배) 발현 한정. LG화학은 미생물·효모 발효 → 문언 비침해. 2027 만료","https://patents.google.com/patent/US8455717B2/en","E-508"
"US8642339B2","US","Koninklijke Nederlandse Akademie van Wetenschappen (Hubrecht / Clevers·Sato)","2009-02-03","2014-02-04","2030-02-03 (추정: 출원일+20년)","등록","상피줄기세포 또는 조직절편을 **세포외기질과 함께**, BMP 억제제 + 마이토젠 성장인자 5~500 ng/ml + Wnt 아고니스트를 포함하는 배지에서 배양하여 crypt-villus/colon crypt 오가노이드를 얻는 in vitro 방법","인접","중","청구항이 '배양 방법'이며 ECM 은 한정 없는 상위개념. 매트릭스 판매 자체는 직접침해가 아니고 **기여침해/유도침해** 리스크. 2030-02-03 만료 → 회피의 최선책은 시간","https://patents.google.com/patent/US8642339B2/en","E-509"
