product_id,manufacturer,product_name,catalog_number,category,definition_level,origin,grade,size_mL,list_price_usd,price_source_url,usd_per_mL,crosslinking,organoid_efficiency_note,pubmed_citation_count,gmp_line_available,key_customers_partnerships,evidence_id
P01,Corning Life Sciences,"Corning Matrigel Basement Membrane Matrix, LDEV-free, 10 mL",354234,BME,undefined-BME,mouse-EHS,RUO,10.0,302.85,https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Extracellular-Matrices-ECMs/Corning%C2%AE-Matrigel%C2%AE-Matrix/p/354234,30.29,none(thermal self-assembly 37C),오가노이드 표준 대조군; lot-to-lot 편차가 주요 불만,15004,no,전 세계 학술/제약 표준. Corning 직판+Fisher/VWR/Sigma 유통,E-100
P02,Corning Life Sciences,"Corning Matrigel Basement Membrane Matrix, LDEV-free, 5 mL",356234,BME,undefined-BME,mouse-EHS,RUO,5.0,195.06,https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Extracellular-Matrices-ECMs/Corning%C2%AE-Matrigel%C2%AE-Matrix/p/356234,39.01,none(thermal self-assembly 37C),소용량 SKU; 10mL 대비 mL당 +28.8% 소용량 프리미엄,15004,no,동상,E-133
P03,Corning Life Sciences,"Corning Matrigel GFR Basement Membrane Matrix, LDEV-free, 10 mL",354230,BME,undefined-BME,mouse-EHS,RUO,10.0,364.23,https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Extracellular-Matrices-ECMs/Corning%C2%AE-Matrigel%C2%AE-Matrix/p/354230,36.42,none(thermal self-assembly 37C),성장인자 감소형; 분화 실험에서 변동성 축소 목적,15004,no,동상,E-104
P04,Corning Life Sciences,"Corning Matrigel Matrix for Organoid Culture, Phenol Red-free, LDEV-free, 10 mL",356255,BME,undefined-BME,mouse-EHS,RUO,10.0,447.60,https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Extracellular-Matrices-ECMs/Corning%C2%AE-Matrigel%C2%AE-Matrix/p/356255,44.76,none(thermal self-assembly 37C),마우스·인체 오가노이드 성장/분화 지원 검증 로트 선별. 오가노이드 전용 프리미엄 SKU,15004,no,오가노이드 전용 라인; 일반 Matrigel 대비 +47.8%,E-102
P05,R&D Systems (Bio-Techne),"Cultrex UltiMatrix RGF Basement Membrane Extract, 5 mL",BME001-05,BME,undefined-BME,mouse-EHS,RUO,5.0,381.00,https://www.fishersci.com/shop/products/cultrex-ultimatrix-rgf-basement-membrane-extract-3/BME00105,76.20,none(thermal self-assembly 37C),고농도 라미닌/콜라겐IV; 오가노이드·iPSC 확장 소구. Matrigel 대비 증식률 낮다는 비교연구 존재,6,no,Bio-Techne 직판+Fisher. Matrigel 대체 캠페인 주력 SKU,E-106
P06,R&D Systems (Bio-Techne),"Cultrex UltiMatrix RGF Basement Membrane Extract, 1 mL",BME001-01,BME,undefined-BME,mouse-EHS,RUO,1.0,88.30,https://www.fishersci.com/shop/products/cultrex-ultimatrix-rgf-basement-membrane-extract-3/BME00101,88.30,none(thermal self-assembly 37C),트라이얼 소용량 SKU,6,no,동상,E-107
P07,R&D Systems (Bio-Techne),"Cultrex RGF Basement Membrane Extract, Type 2, PathClear, 2 x 5 mL",3533-010-02,BME,undefined-BME,mouse-EHS,RUO,10.0,566.00,https://www.fishersci.com/shop/products/r-d-systems-cultrex-pathclear-reduced-growth-factor-bme-type-2-5/353301002,56.60,none(thermal self-assembly 37C),오가노이드 확립·확장 적격성 시험 통과 표기. 8-12 mg/mL. 31종 병원체 PathClear 시험,53,no,동상,E-138
P08,Thermo Fisher Scientific (Gibco),"Geltrex LDEV-Free Reduced Growth Factor Basement Membrane Matrix, 5 mL",A1413202,BME,undefined-BME,mouse-EHS,RUO,5.0,356.00,https://www.thermofisher.com/order/catalog/product/A1413202,71.20,none(thermal self-assembly 37C),EHS 종양 유래 가용화 BME; hPSC/오가노이드 범용,104,no,Thermo 직판=Fisher 동일가(계열 내재화),E-105
P09,Thermo Fisher Scientific (Gibco),"Geltrex LDEV-Free Reduced Growth Factor Basement Membrane Matrix, 1 mL",A1413201,BME,undefined-BME,mouse-EHS,RUO,1.0,85.75,https://www.thermofisher.com/order/catalog/product/A1413201,85.75,none(thermal self-assembly 37C),소용량 SKU,104,no,동상,E-139
P10,Merck / Sigma-Aldrich,"ECM Gel from Engelbreth-Holm-Swarm murine sarcoma, 10 mL",E1270,BME,undefined-BME,mouse-EHS,RUO,10.0,644.00,https://www.krackeler.com/catalog/sigma/SIGMA/E1270,64.40,none(thermal self-assembly 37C),Matrigel 과 동일 EHS 원료. Sigma 브랜드 BME,15004,no,Sigma 카탈로그 유통망(Krackeler/Alkali 등),E-108
P11,STEMCELL Technologies,"STEMmatrix BME, 5 mL",200-0960,BME,undefined-BME,mouse-EHS,RUO,5.0,239.00,https://www.stemcell.com/products/stemmatrix-bme.html,47.80,none(thermal self-assembly 37C),hPSC-qualified. 10 계대 확장에서 Matrigel 과 동등 배수증식 자사 데이터,0,no,배지 1위 사업자의 매트릭스 자체브랜드 수직통합 사례,E-118
P12,Yeasen Biotechnology (中国),"Ceturegel Matrix for Organoid culture, Phenol Red-Free, LDEV-Free, 10 mL",40192ES,BME,undefined-BME,mouse-EHS,RUO,10.0,213.00,https://www.yeasenbio.com/products/40192,21.30,none(thermal self-assembly 37C),오가노이드 전용. 초저 엔도톡신·마이코플라스마 시험 표기,0,no,중국 로컬 1군. Corning 356255 대비 52% 저가,E-125
P13,"Beyotime Biotechnology (碧云天, 中国)","Matrix-Gel Basement Membrane Matrix (오가노이드용, 무페놀레드), 50 mL",C0396-50ml,BME,undefined-BME,mouse-EHS,RUO,50.0,2434.72,https://www.beyotime.com/product/C0396-50ml.htm,48.69,none(thermal self-assembly 37C),"자사 주장: Corning Matrigel 과 성능 동등 또는 우수, 완전 대체 가능",0,no,"중국 내수 대용량 SKU (¥16,428 / 환율 6.7474 [E-146])",E-126
P14,Biofargo / AMMS (中国),"AMMS Organoid-specific Matrigel, 5 mL",AMMS-ORG-5,BME,undefined-BME,mouse-EHS,RUO,5.0,220.00,https://biofargo.com/products/amms%C2%AE-organoid-specific-matrigel,44.00,none(thermal self-assembly 37C),마우스 종양조직 유래 BME; 성장인자 풍부형 오가노이드 전용,0,no,중국 제조 + 미국 직배송(Biofargo),E-140
P15,Corning Life Sciences,"Corning Synthegel 3D hiPSC Matrix Kit, 10 mL",354787,synthetic-defined,fully-defined,synthetic,RUO,10.0,370.80,https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Extracellular-Matrices-ECMs/Corning%C2%AE-Synthegel%C2%AE-3D-Matrix-Kits/p/354787,37.08,합성 펩타이드 나노섬유 + Synthegel X-Link 가교제(2액형),defined·self-healing·동물유래 무첨가. hiPSC 3D 스페로이드 형성용. Corning 의 BME 대체 방어 라인,1,no,Corning 자체 defined 라인 — 자사 Matrigel Organoid($44.76/mL)보다 저가 책정,E-130
P16,Corning Life Sciences,"Corning Synthegel Spheroid Matrix Kit, 10 mL",354789,synthetic-defined,fully-defined,synthetic,RUO,10.0,432.60,https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Extracellular-Matrices-ECMs/Corning%C2%AE-Synthegel%C2%AE-3D-Matrix-Kits/p/354789,43.26,합성 펩타이드 나노섬유 + X-Link 가교제(2액형),암 스페로이드 3D 고함량 배양용,1,no,동상,E-131
P17,Corning Life Sciences,"Corning PuraMatrix Peptide Hydrogel, 5 mL",354250,synthetic-defined,fully-defined,synthetic,RUO,5.0,313.58,https://us.vwr.com/store/product/20094082/corning-puramatrixtm-peptide-hydrogel-corning,62.72,자가조립 펩타이드(RADA16) — 이온 강도 유발 자가조립,합성 3D 미세환경. 오가노이드 특화 데이터는 제한적,228,no,3-D Matrix 원천기술 → Corning 판매,E-122
P18,TheWell Bioscience,"VitroGel ORGANOID-1, 10 mL",VHM04-1,synthetic-defined,fully-defined,synthetic,RUO,10.0,569.63,https://www.fishersci.com/shop/products/vitrogel-organoid-1-10ml/NC1970936,56.96,"다당류 기반 물리적 가교(전단희석형, 실온 자가조립)",xeno-free. PDO/PSC 오가노이드·공배양·PDX 지원 소구. ORGANOID 1-5 시리즈로 강성 튜닝,22,no,Fisher/BioCat 등 광역 유통. 2 mL SKU 는 €197(=$113.86/mL)로 소용량 프리미엄 큼,E-111
P19,Advanced BioMatrix (BICO),"HyStem Hydrogel Kit (Version 2.0), 7.5 mL",GS311,synthetic-defined,fully-defined,synthetic,RUO,7.5,436.60,https://www.fishersci.com/shop/products/hystem-hydrogel-kit-7-5ml/NC1478394,58.21,티올-마이클 부가(Glycosil 티올화 HA + Extralink-Lite PEGDA),HA 리치 니치 줄기세포용. 조성 완전 공지형,0,no,BICO 그룹 편입. Fisher 유통,E-115
P20,Cellendes GmbH,3-D Life PVA-PEG Hydrogel SG Kit,G82-1,synthetic-defined,fully-defined,synthetic,RUO,2.0,145.00,https://ilexlife.com/collections/3-d-life-pva-hydrogel-kits,72.50,티올-말레이미드 부가(PVA-말레이미드 + PEG-디티올 가교제),완전 조성 공지. RGD 등 펩타이드 개별 첨가로 조성 설계 가능. 키트당 최대 2 mL 겔(C-A3a),0,no,Ilex Life Sciences 미국 총판,E-112
P21,Cellendes GmbH,3-D Life PVA-HA Hydrogel Kit,G85-1,synthetic-defined,fully-defined,synthetic,RUO,2.0,333.00,https://ilexlife.com/collections/3-d-life-pva-hydrogel-kits,166.50,티올-말레이미드 부가 + 히알루론산 성분,HA 함유 defined 겔,0,no,동상,E-112
P22,Cellendes GmbH,3-D Life ToGro Hydrogel Ready-To-Go Kit,G88-1,synthetic-defined,fully-defined,synthetic,RUO,2.0,420.00,https://ilexlife.com/collections/cellendes-3-d-life-hydrogels,210.00,티올-말레이미드 부가(사전배합 Ready-To-Go),즉시사용형 최상위 SKU,0,no,동상,E-141
P23,Merck / Sigma-Aldrich,TrueGel3D Hydrogel Kit (CD cell-degradable crosslinker + RGD),TRUE3-1KT,synthetic-defined,fully-defined,synthetic,RUO,2.0,347.08,https://alkalisci.com/truegel3d-hydrogel-kits-1-kit-true3-1kt/,173.54,티올-마이클 부가(PEG/덱스트란 골격 + 세포분해성 CD 가교제),완전 화학적 정의. 겔 수율 미공개 → 2.0 mL 가정(C-A3b),1,no,MilliporeSigma 카탈로그 전역 유통,E-123
P24,denovoMATRIX GmbH,screenMATRIX (5 x 96-well 프리코팅 플레이트),screenMATRIX,synthetic-defined,fully-defined,synthetic,RUO,24.0,600.00,https://ilexlife.com/products/screenmatrix,25.00,GAG-펩타이드 비공유 층상 자기조립 코팅,96종 화학적 정의 미세환경 스크리닝. 코팅 등가부피 환산(C-A3d). **현재 단종(discontinued)** — defined 스크리닝 툴의 상업적 철수 사례,0,no,Ilex 유통. 단종,E-124
P25,Ectica Technologies AG,"3DProSeed Hydrogel Well Plate, 96-well glass bottom (플레이트 1매)",ECT-PS1,synthetic-defined,fully-defined,synthetic,RUO,0.96,추정:204.00,https://www.ectica-technologies.com/3d-hydrogel-plate,추정:212.50,PEG 기반 완전합성 하이드로겔 프리캐스트(제조 시 가교 완료),웰당 프리캐스트 광학투명 합성겔. 창약 HTS 워크플로 통합형. 정가 비공개 → 회귀 추정(C-A4f),0,no,EIC Fund / Merck Accelerator 지원 스위스 스타트업,E-113
P26,UPM Biomedicals,"GrowDex Hydrogel, 5 mL syringe",100.103.905,plant-or-other,semi-defined,plant,RUO,5.0,364.11,https://ie.vwr.com/store/product/24596697/growdex-hydrogel,72.82,"none(나노셀룰로스 물리적 얽힘, 가교 불필요)",나노피브릴 셀룰로스 1.5% w/v + 물 98.5%. 동물유래 완전 배제. 세포접착 모티프 부재로 오가노이드는 별도 ECM 보충 필요,17,no,€315 → USD 환산(환율 1.1559 [E-146]). 핀란드 UPM 제지그룹 수직통합,E-142
P27,Gelomics Pty Ltd,"LunaGel Ultrapure GelMA Photocrosslinkable ECM, High Stiffness Kit",SKU0018,synthetic-defined,semi-defined,recombinant,RUO,7.5,400.00,https://gelomics.com/products/,53.33,"광가교(메타크릴로일화 젤라틴 GelMA + LAP 광개시제, Luna Crosslinker 조사)",Rousselot X-Pure GelMA 원료. 0-25 kPa 강성 튜닝. 젤라틴 골격이므로 완전 defined 아님,0,no,Rousselot(Darling Ingredients) 원료 파트너십,E-143
P28,Manchester BIOGEL,"PeptiGel Alpha (자가조립 펩타이드 하이드로겔), 5 mL",PeptiGel-Alpha-5,synthetic-defined,fully-defined,synthetic,RUO,5.0,추정:275.00,https://manchesterbiogel.com/product/peptigel-starter-pack/,추정:55.00,"자가조립 β-시트 펩타이드(pH/이온 유발), 화학 가교제 불요",완전합성·즉시사용형. 기능기·기계물성 변주 시리즈. 정가 비공개(POA) → 회귀 추정(C-A4a),0,no,Appleton Woods 등 영국 유통. 가격 공개 안 함,E-153
